"c_3[1]","c_3[2]","f_1[10]","f_1[1]","f_1[2]","f_1[3]","f_1[4]","f_1[5]","f_1[6]","f_1[7]","f_1[8]","f_1[9]","id","xhi","xlo","yhi","ylo","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0044579,40.213,8.3176,18.141,4.4706e+20,2.1398e-05,-3.723,99.74,1359.1,1435.2,105.53,1347.5,1.386e+05,0.048224,0.048112,0.0023479,0.0022375,1,0,0.04815,0.00225,0
0.0044579,40.213,8.3176,18.141,4.4706e+20,2.1398e-05,-3.723,99.74,1359.1,1435.2,105.53,1347.5,1.386e+05,0.048224,0.048112,0.0023479,0.0022375,1,4.5151e-05,0.048195,0.00225,0
0.0044769,40.384,9.3626,28.011,4.5586e+20,2.1808e-05,5.6361,74.611,1494.1,1553.5,95.74,1487.6,1.386e+05,0.048335,0.048224,0.0023479,0.0022375,1,9.0301e-05,0.04824,0.00225,0
0.0044769,40.384,9.3626,28.011,4.5586e+20,2.1808e-05,5.6361,74.611,1494.1,1553.5,95.74,1487.6,1.386e+05,0.048335,0.048224,0.0023479,0.0022375,1,0.00013545,0.048285,0.00225,0
0.0044769,40.384,9.3626,28.011,4.5586e+20,2.1808e-05,5.6361,74.611,1494.1,1553.5,95.74,1487.6,1.386e+05,0.048335,0.048224,0.0023479,0.0022375,1,0.0001806,0.048331,0.00225,0
0.004538,40.935,11.165,28.667,4.6653e+20,2.2333e-05,30.228,30.851,1735.6,1786.4,89.19,1733.4,1.386e+05,0.048446,0.048335,0.0023479,0.0022375,1,0.00022575,0.048376,0.00225,0
0.004538,40.935,11.165,28.667,4.6653e+20,2.2333e-05,30.228,30.851,1735.6,1786.4,89.19,1733.4,1.386e+05,0.048446,0.048335,0.0023479,0.0022375,1,0.0002709,0.048421,0.00225,0
0.0046287,41.753,13.766,29.38,4.7814e+20,2.288e-05,68.25,-38.273,2092.4,1970.8,91.886,2085.3,1.386e+05,0.048557,0.048446,0.0023479,0.0022375,1,0.00031605,0.048466,0.00225,0
0.0046287,41.753,13.766,29.38,4.7814e+20,2.288e-05,68.25,-38.273,2092.4,1970.8,91.886,2085.3,1.386e+05,0.048557,0.048446,0.0023479,0.0022375,1,0.0003612,0.048511,0.00225,0
0.0046287,41.753,13.766,29.38,4.7814e+20,2.288e-05,68.25,-38.273,2092.4,1970.8,91.886,2085.3,1.386e+05,0.048557,0.048446,0.0023479,0.0022375,1,0.00040635,0.048556,0.00225,0
0.0046275,41.742,17.034,30.623,4.9836e+20,2.3858e-05,124.84,-127.65,2512.5,2267,89.781,2475.6,1.386e+05,0.048669,0.048557,0.0023479,0.0022375,1,0.0004515,0.048602,0.00225,0
0.0046275,41.742,17.034,30.623,4.9836e+20,2.3858e-05,124.84,-127.65,2512.5,2267,89.781,2475.6,1.386e+05,0.048669,0.048557,0.0023479,0.0022375,1,0.00049665,0.048647,0.00225,0
0.0046242,41.713,21.497,32.052,5.2162e+20,2.4976e-05,211.6,-234.1,3100.2,2494.4,92.919,2985,1.386e+05,0.04878,0.048669,0.0023479,0.0022375,1,0.0005418,0.048692,0.00225,0
0.0046242,41.713,21.497,32.052,5.2162e+20,2.4976e-05,211.6,-234.1,3100.2,2494.4,92.919,2985,1.386e+05,0.04878,0.048669,0.0023479,0.0022375,1,0.00058695,0.048737,0.00225,0
0.0045529,41.069,25.716,33.602,5.4685e+20,2.6182e-05,304.3,-313.22,3626.6,2752.6,85.146,3406.1,1.386e+05,0.048891,0.04878,0.0023479,0.0022375,1,0.0006321,0.048782,0.00225,0
0.0045529,41.069,25.716,33.602,5.4685e+20,2.6182e-05,304.3,-313.22,3626.6,2752.6,85.146,3406.1,1.386e+05,0.048891,0.04878,0.0023479,0.0022375,1,0.00067725,0.048827,0.00225,0
0.0045529,41.069,25.716,33.602,5.4685e+20,2.6182e-05,304.3,-313.22,3626.6,2752.6,85.146,3406.1,1.386e+05,0.048891,0.04878,0.0023479,0.0022375,1,0.0007224,0.048872,0.00225,0
0.004522,40.791,30.549,34.932,5.6849e+20,2.7222e-05,419.54,-397.36,4278.2,2987.2,87.025,3892.2,1.386e+05,0.049003,0.048891,0.0023479,0.0022375,1,0.00076755,0.048918,0.00225,0
0.004522,40.791,30.549,34.932,5.6849e+20,2.7222e-05,419.54,-397.36,4278.2,2987.2,87.025,3892.2,1.386e+05,0.049003,0.048891,0.0023479,0.0022375,1,0.0008127,0.048963,0.00225,0
