"c_3[1]","c_3[2]","f_1[10]","f_1[1]","f_1[2]","f_1[3]","f_1[4]","f_1[5]","f_1[6]","f_1[7]","f_1[8]","f_1[9]","id","xhi","xlo","yhi","ylo","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00087046,6.5882,13.537,126.73,1.834e+21,8.8129e-05,7421.1,8.0639,64428,234.66,0.25761,534.63,93608,3.3898e-05,-8.4746e-05,0.0015604,0.0014148,1,0,0,0.0015,0
0.00088094,6.6675,14.08,126.47,1.8302e+21,8.7979e-05,7419.1,8.1013,64438,237.72,0.40064,557.19,93609,0.00015254,3.3898e-05,0.0015604,0.0014148,1,4.515e-05,4.515e-05,0.0015,0
0.00088094,6.6675,14.08,126.47,1.8302e+21,8.7979e-05,7419.1,8.1013,64438,237.72,0.40064,557.19,93609,0.00015254,3.3898e-05,0.0015604,0.0014148,1,9.03e-05,9.03e-05,0.0015,0
0.00088094,6.6675,14.08,126.47,1.8302e+21,8.7979e-05,7419.1,8.1013,64438,237.72,0.40064,557.19,93609,0.00015254,3.3898e-05,0.0015604,0.0014148,1,0.00013545,0.00013545,0.0015,0
0.00091348,6.9138,16.378,126.47,1.8302e+21,8.7952e-05,7408.1,12.777,64321,242.9,0.30304,648.14,93610,0.00027119,0.00015254,0.0015604,0.0014148,1,0.0001806,0.0001806,0.0015,0
0.00091348,6.9138,16.378,126.47,1.8302e+21,8.7952e-05,7408.1,12.777,64321,242.9,0.30304,648.14,93610,0.00027119,0.00015254,0.0015604,0.0014148,1,0.00022575,0.00022575,0.0015,0
0.00091348,6.9138,16.378,126.47,1.8302e+21,8.7952e-05,7408.1,12.777,64321,242.9,0.30304,648.14,93610,0.00027119,0.00015254,0.0015604,0.0014148,1,0.0002709,0.0002709,0.0015,0
0.00093743,7.095,18.493,126.81,1.8351e+21,8.8197e-05,7399.9,15.159,64269,247.61,0.55029,729.9,93611,0.00038983,0.00027119,0.0015604,0.0014148,1,0.00031605,0.00031605,0.0015,0
0.00093743,7.095,18.493,126.81,1.8351e+21,8.8197e-05,7399.9,15.159,64269,247.61,0.55029,729.9,93611,0.00038983,0.00027119,0.0015604,0.0014148,1,0.0003612,0.0003612,0.0015,0
0.00095817,7.252,20.682,127.31,1.8424e+21,8.8554e-05,7389.2,17.398,64172,249.36,0.45094,813.04,93612,0.00050847,0.00038983,0.0015604,0.0014148,1,0.00040635,0.00040635,0.0015,0
0.00095817,7.252,20.682,127.31,1.8424e+21,8.8554e-05,7389.2,17.398,64172,249.36,0.45094,813.04,93612,0.00050847,0.00038983,0.0015604,0.0014148,1,0.0004515,0.0004515,0.0015,0
0.00095817,7.252,20.682,127.31,1.8424e+21,8.8554e-05,7389.2,17.398,64172,249.36,0.45094,813.04,93612,0.00050847,0.00038983,0.0015604,0.0014148,1,0.00049665,0.00049665,0.0015,0
0.0009761,7.3878,22.178,127.13,1.8398e+21,8.8425e-05,7383,24.45,64125,256.74,0.4161,873.11,93613,0.00062712,0.00050847,0.0015604,0.0014148,1,0.0005418,0.0005418,0.0015,0
0.0009761,7.3878,22.178,127.13,1.8398e+21,8.8425e-05,7383,24.45,64125,256.74,0.4161,873.11,93613,0.00062712,0.00050847,0.0015604,0.0014148,1,0.00058695,0.00058695,0.0015,0
0.00098627,7.4647,24.26,128.28,1.8565e+21,8.9225e-05,7373.1,24.68,64028,264.67,0.6143,946.5,93614,0.00074576,0.00062712,0.0015604,0.0014148,1,0.0006321,0.0006321,0.0015,0
0.00098627,7.4647,24.26,128.28,1.8565e+21,8.9225e-05,7373.1,24.68,64028,264.67,0.6143,946.5,93614,0.00074576,0.00062712,0.0015604,0.0014148,1,0.00067725,0.00067725,0.0015,0
0.00098627,7.4647,24.26,128.28,1.8565e+21,8.9225e-05,7373.1,24.68,64028,264.67,0.6143,946.5,93614,0.00074576,0.00062712,0.0015604,0.0014148,1,0.0007224,0.0007224,0.0015,0
0.0010143,7.6772,27.133,128.16,1.8546e+21,8.912e-05,7360.9,28.968,63919,273.03,0.62381,1059.6,93615,0.00086441,0.00074576,0.0015604,0.0014148,1,0.00076755,0.00076755,0.0015,0
0.0010143,7.6772,27.133,128.16,1.8546e+21,8.912e-05,7360.9,28.968,63919,273.03,0.62381,1059.6,93615,0.00086441,0.00074576,0.0015604,0.0014148,1,0.0008127,0.0008127,0.0015,0
0.0010143,7.6772,27.133,128.16,1.8546e+21,8.912e-05,7360.9,28.968,63919,273.03,0.62381,1059.6,93615,0.00086441,0.00074576,0.0015604,0.0014148,1,0.00085785,0.00085785,0.0015,0
0.0010255,7.7614,28.644,128.37,1.8578e+21,8.9285e-05,7353.1,34.612,63855,282.92,0.84171,1116.7,93616,0.00098305,0.00086441,0.0015604,0.0014148,1,0.000903,0.000903,0.0015,0
0.0010255,7.7614,28.644,128.37,1.8578e+21,8.9285e-05,7353.1,34.612,63855,282.92,0.84171,1116.7,93616,0.00098305,0.00086441,0.0015604,0.0014148,1,0.00094815,0.00094815,0.0015,0
0.0010502,7.9487,31.371,128.16,1.8548e+21,8.9156e-05,7339.1,40.425,63736,296.9,0.89589,1225.1,93617,0.0011017,0.00098305,0.0015604,0.0014148,1,0.0009933,0.0009933,0.0015,0
0.0010502,7.9487,31.371,128.16,1.8548e+21,8.9156e-05,7339.1,40.425,63736,296.9,0.89589,1225.1,93617,0.0011017,0.00098305,0.0015604,0.0014148,1,0.0010385,0.0010385,0.0015,0
0.0010502,7.9487,31.371,128.16,1.8548e+21,8.9156e-05,7339.1,40.425,63736,296.9,0.89589,1225.1,93617,0.0011017,0.00098305,0.0015604,0.0014148,1,0.0010836,0.0010836,0.0015,0
0.001066,8.0684,34.33,128.86,1.8648e+21,8.9623e-05,7327.4,45.079,63635,303.82,0.94339,1333.4,93618,0.0012203,0.0011017,0.0015604,0.0014148,1,0.0011288,0.0011288,0.0015,0
0.001066,8.0684,34.33,128.86,1.8648e+21,8.9623e-05,7327.4,45.079,63635,303.82,0.94339,1333.4,93618,0.0012203,0.0011017,0.0015604,0.0014148,1,0.0011739,0.0011739,0.0015,0
0.001066,8.0684,34.33,128.86,1.8648e+21,8.9623e-05,7327.4,45.079,63635,303.82,0.94339,1333.4,93618,0.0012203,0.0011017,0.0015604,0.0014148,1,0.0012191,0.0012191,0.0015,0
0.0010814,8.1844,37.354,129.48,1.8738e+21,9.0037e-05,7313.2,51.755,63491,314.91,0.92122,1443.9,93619,0.001339,0.0012203,0.0015604,0.0014148,1,0.0012642,0.0012642,0.0015,0
0.0010814,8.1844,37.354,129.48,1.8738e+21,9.0037e-05,7313.2,51.755,63491,314.91,0.92122,1443.9,93619,0.001339,0.0012203,0.0015604,0.0014148,1,0.0013094,0.0013094,0.0015,0
0.0010957,8.2932,39.781,129.68,1.8767e+21,9.0195e-05,7300.3,56.678,63380,320.96,1.1286,1535.3,93620,0.0014576,0.001339,0.0015604,0.0014148,1,0.0013545,0.0013545,0.0015,0
0.0010957,8.2932,39.781,129.68,1.8767e+21,9.0195e-05,7300.3,56.678,63380,320.96,1.1286,1535.3,93620,0.0014576,0.001339,0.0015604,0.0014148,1,0.0013997,0.0013997,0.0015,0
0.0010957,8.2932,39.781,129.68,1.8767e+21,9.0195e-05,7300.3,56.678,63380,320.96,1.1286,1535.3,93620,0.0014576,0.001339,0.0015604,0.0014148,1,0.0014448,0.0014448,0.0015,0
0.00112,8.4768,43.953,129.89,1.8798e+21,9.0333e-05,7283.2,68.907,63242,343.87,1.1698,1693.5,93621,0.0015763,0.0014576,0.0015604,0.0014148,1,0.0014899,0.0014899,0.0015,0
